iso639_2	english_name
aar	Afar
abk	Abkhazian
ace	Achinese
ach	Acoli
ada	Adangme
ady	Adyghe
afa	Afro-Asiatic languages
afh	Afrihili
afr	Afrikaans
ain	Ainu
aka	Akan
akk	Akkadian
alb	Albanian
ale	Aleut
alg	Algonquian languages
alt	Southern Altai
amh	Amharic
ang	English, Old (ca.450-1100)
anp	Angika
apa	Apache languages
ara	Arabic
arc	Official Aramaic (700-300 BCE)
arg	Aragonese
arm	Armenian
arn	Mapudungun
arp	Arapaho
art	Artificial languages
arw	Arawak
asm	Assamese
ast	Asturian
ath	Athapascan languages
aus	Australian languages
ava	Avaric
ave	Avestan
awa	Awadhi
aym	Aymara
aze	Azerbaijani
bad	Banda languages
bai	Bamileke languages
bak	Bashkir
bal	Baluchi
bam	Bambara
ban	Balinese
baq	Basque
bas	Basa
bat	Baltic languages
bej	Beja
bel	Belarusian
bem	Bemba
ben	Bengali
ber	Berber languages
bho	Bhojpuri
bih	Bihari languages
bik	Bikol
bin	Bini
bis	Bislama
bla	Siksika
bnt	Bantu languages
bos	Bosnian
bra	Braj
bre	Breton
btk	Batak languages
bua	Buriat
bug	Buginese
bul	Bulgarian
bur	Burmese
byn	Blin
cad	Caddo
cai	Central American Indian languages
car	Galibi Carib
cat	"Catalan
Valencian"
cau	Caucasian languages
ceb	Cebuano
cel	Celtic languages
cha	Chamorro
chb	Chibcha
che	Chechen
chg	Chagatai
chi	Chinese
chk	Chuukese
chm	Mari (Russia)
chn	Chinook jargon
cho	Choctaw
chp	Chipewyan
chr	Cherokee
chu	"Church Slavic
Church Slavonic
Old Bulgarian
Old Church Slavonic
Old Slavonic"
chv	Chuvash
chy	Cheyenne
cmc	Chamic languages
cnr	Montenegrin
cop	Coptic
cor	Cornish
cos	Corsican
cpe	English based creoles and pidgins
cpf	French-based creoles and pidgins
cpp	Portuguese-based creoles and pidgins
cre	Cree
crh	Crimean Tatar
crp	Creoles and pidgins
csb	Kashubian
cus	Cushitic languages
cze	Czech
dak	Dakota
dan	Danish
dar	Dargwa
day	Land Dayak languages
del	Delaware
den	Slavey
dgr	Tlicho
din	Dinka
div	"Dhivehi
Divehi
Maldivian"
doi	Dogri (macrolanguage)
dra	Dravidian languages
dsb	Lower Sorbian
dua	Duala
dum	Dutch, Middle (ca.1050-1350)
dut	"Dutch
Flemish"
dyu	Dyula
dzo	Dzongkha
efi	Efik
egy	Egyptian (Ancient)
eka	Ekajuk
elx	Elamite
eng	English
enm	English, Middle (1100-1500)
epo	Esperanto
est	Estonian
ewe	Ewe
ewo	Ewondo
fan	Fang
fao	Faroese
fat	Fanti
fij	Fijian
fil	Filipino
fin	Finnish
fiu	Finno-Ugrian languages
fon	Fon
fre	French
frm	French, Middle (ca.1400-1600)
fro	French, Old (842-ca.1400)
frr	Northern Frisian
frs	Eastern Frisian
fry	Western Frisian
ful	Fulah
fur	Friulian
gaa	Ga
gay	Gayo
gba	Gbaya (Central African Republic)
gem	Germanic languages
geo	Georgian
ger	German
gez	Geez
gil	Gilbertese
gla	"Scottish Gaelic
Gaelic"
gle	Irish
glg	Galician
glv	Manx
gmh	German, Middle High (ca.1050-1500)
goh	German, Old High (ca.750-1050)
gon	Gondi
gor	Gorontalo
got	Gothic
grb	Grebo
grc	Greek, Ancient (to 1453)
gre	Modern Greek (1453-)
grn	Guarani
gsw	Swiss German
guj	Gujarati
gwi	Gwich'in
hai	Haida
hat	"Haitian
Haitian Creole"
hau	Hausa
haw	Hawaiian
heb	Hebrew
her	Herero
hil	Hiligaynon
him	"Himachali languages
Western Pahari languages"
hin	Hindi
hit	Hittite
hmn	"Hmong
Mong"
hmo	Hiri Motu
hrv	Croatian
hsb	Upper Sorbian
hun	Hungarian
hup	Hupa
iba	Iban
ibo	Igbo
ice	Icelandic
ido	Ido
iii	"Sichuan Yi
Nuosu"
ijo	Ijo languages
iku	Inuktitut
ile	"Interlingue
Occidental"
ilo	Iloko
ina	"Interlingua (IALA)
Interlingua (International Auxiliary Language Association)"
inc	Indic languages
ind	Indonesian
ine	Indo-European languages
inh	Ingush
ipk	Inupiaq
ira	Iranian languages
iro	Iroquoian languages
ita	Italian
jav	Javanese
jbo	Lojban
jpn	Japanese
jpr	Judeo-Persian
jrb	Judeo-Arabic
kaa	Kara-Kalpak
kab	Kabyle
kac	Kachin
kal	"Kalaallisut
Greenlandic"
kam	Kamba
kan	Kannada
kar	Karen languages
kas	Kashmiri
kau	Kanuri
kaw	Kawi
kaz	Kazakh
kbd	Kabardian
kha	Khasi
khi	Khoisan languages
khm	"Khmer
Central Khmer"
kho	Khotanese
kik	"Kikuyu
Gikuyu"
kin	Kinyarwanda
kir	"Kirghiz
Kyrgyz"
kmb	Kimbundu
kok	Konkani (macrolanguage)
kom	Komi
kon	Kongo
kor	Korean
kos	Kosraean
kpe	Kpelle
krc	Karachay-Balkar
krl	Karelian
kro	Kru languages
kru	Kurukh
kua	"Kuanyama
Kwanyama"
kum	Kumyk
kur	Kurdish
kut	Kutenai
lad	Ladino
lah	Lahnda
lam	Lamba
lao	Lao
lat	Latin
lav	Latvian
lez	Lezghian
lim	"Limburgan
Limburger
Limburgish"
lin	Lingala
lit	Lithuanian
lol	Mongo
loz	Lozi
ltz	"Luxembourgish
Letzeburgesch"
lua	Luba-Lulua
lub	Luba-Katanga
lug	Ganda
lui	Luiseño
lun	Lunda
luo	Luo (Kenya and Tanzania)
lus	Lushai
mac	Macedonian
mad	Madurese
mag	Magahi
mah	Marshallese
mai	Maithili
mak	Makasar
mal	Malayalam
man	"Mandingo
Manding"
mao	Maori
map	Austronesian languages
mar	Marathi
mas	Masai
may	Malay (macrolanguage)
mdf	Moksha
mdr	Mandar
men	Mende
mga	Irish, Middle (900-1200)
mic	Mi'kmaq
min	Minangkabau
mis	Uncoded languages
mkh	Mon-Khmer languages
mlg	Malagasy
mlt	Maltese
mnc	Manchu
mni	Manipuri
mno	Manobo languages
moh	Mohawk
mon	Mongolian
mos	Mossi
mul	Multiple languages
mun	Munda languages
mus	Creek
mwl	Mirandese
mwr	Marwari
myn	Mayan languages
myv	Erzya
nah	Nahuatl languages
nai	North American Indian
nap	Neapolitan
nau	Nauru
nav	"Navajo
Navaho"
nbl	South Ndebele
nde	North Ndebele
ndo	Ndonga
nds	Low German
nep	Nepali (macrolanguage)
new	Nepal Bhasa
nia	Nias
nic	Niger-Kordofanian languages
niu	Niuean
nno	Norwegian Nynorsk
nob	Norwegian Bokmål
nog	Nogai
non	Norse, Old
nor	Norwegian
nqo	N'Ko
nso	Pedi
nub	Nubian languages
nwc	Classical Newari
nya	"Chichewa
Chewa
Nyanja"
nym	Nyamwezi
nyn	Nyankole
nyo	Nyoro
nzi	Nzima
oci	Occitan (post 1500)
oji	Ojibwa
ori	Oriya (macrolanguage)
orm	Oromo
osa	Osage
oss	"Iron Ossetic
Iron
Iron Ossetian
Ossetian
Ossetic"
ota	Turkish, Ottoman (1500-1928)
oto	Otomian languages
paa	Papuan languages
pag	Pangasinan
pal	Pahlavi
pam	Pampanga
pan	"Panjabi
Punjabi"
pap	Papiamento
pau	Palauan
peo	Persian, Old (ca.600-400 B.C.)
per	Persian
phi	Philippine languages
phn	Phoenician
pli	Pali
pol	Polish
pon	Pohnpeian
por	Portuguese
pra	Prakrit languages
pro	Provençal, Old (to 1500)
pus	"Pushto
Pashto"
qaa	Northwest Semitic
qab	Canaanite
qac	Proto-Canaanite
qad	Aramaic Group
qae	Eastern Aramaic
qaf	Eastern Neo-Aramaic
qag	East Chadic
qah	East Chadic A
qai	Sibine Group
qaj	Mire
qak	Motun
qal	Mawer
qam	Miltu Group
qan	Boor
qao	Gadang
qap	Nancere Group
qaq	Nancere
qar	Kimré
qas	Gabri Group
qat	Kabalai
qau	Tobanga
qav	Kwang Group
qaw	East Chadic B
qax	Dangla Group
qay	Birgit
qaz	Jonkor Bourmataguil
qba	Mabire
qbb	Mogum
qbc	Toram
qbd	Mubi Group
qbe	Kajakse
qbf	Masmaje
qbg	Zirenkel
qbh	Kujargé Group
qbi	Kujargé
qbj	Mokilko Group
qbk	Sokoro Group
qbl	Saba
qbm	Tamki
qbn	Mawa
qbo	Ubi
qbp	Barein Group
qbq	Jalking/Jelkung
qbr	Masa Branch
qbs	North Masa
qbt	Musey-Azumeina
qbu	South Masa
qbv	Peve-Kaɗo
qbw	Ngeté-Herdé
qbx	West Chadic
qby	Hausa-Gwandara
qbz	Bole-Angas
qca	Bole-Tangale
qcb	North Bole
qcc	Bure
qcd	Gera
qce	Geruma
qcf	Deno
qcg	Galambu
